2025-09-14 13:51:51,612 [INFO] 7,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.19 min
2025-09-14 13:51:58,960 [INFO] 7,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.32 min
2025-09-14 13:52:06,155 [INFO] 7,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.43 min
2025-09-14 13:52:13,271 [INFO] 7,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.55 min
2025-09-14 13:52:20,477 [INFO] 7,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.67 min
2025-09-14 13:52:27,544 [INFO] 7,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.79 min
2025-09-14 13:52:34,589 [INFO] 7,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.91 min
2025-09-14 13:52:41,590 [INFO] 7,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.03 min
2025-09-14 13:52:48,627 [INFO] 7,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.14 min
2025-09-14 13:52:55,734 [INFO] 7,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.26 min
2025-09-14 13:53:02,794 [INFO] 8,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.38 min
2025-09-14 13:53:09,866 [INFO] 8,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.50 min
2025-09-14 13:53:16,969 [INFO] 8,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.62 min
2025-09-14 13:53:24,039 [INFO] 8,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.73 min
2025-09-14 13:53:31,144 [INFO] 8,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.85 min
2025-09-14 13:53:38,177 [INFO] 8,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.97 min
2025-09-14 13:53:45,207 [INFO] 8,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.09 min
2025-09-14 13:53:52,271 [INFO] 8,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.20 min
2025-09-14 13:53:59,259 [INFO] 8,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.32 min
2025-09-14 13:54:06,251 [INFO] 8,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.44 min
2025-09-14 13:54:13,236 [INFO] 9,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.55 min
2025-09-14 13:54:20,253 [INFO] 9,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.67 min
2025-09-14 13:54:27,238 [INFO] 9,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.79 min
2025-09-14 13:54:34,198 [INFO] 9,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.90 min
2025-09-14 13:54:41,149 [INFO] 9,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.02 min
2025-09-14 13:54:48,111 [INFO] 9,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.13 min
2025-09-14 13:54:55,028 [INFO] 9,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.25 min
2025-09-14 13:55:01,928 [INFO] 9,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.36 min
2025-09-14 13:55:08,854 [INFO] 9,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.48 min
2025-09-14 13:55:15,714 [INFO] 9,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.59 min
2025-09-14 13:55:22,594 [INFO] 10,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.71 min
2025-09-14 13:55:29,464 [INFO] 10,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.82 min
2025-09-14 13:55:36,372 [INFO] 10,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.94 min
2025-09-14 13:55:43,303 [INFO] 10,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.05 min
2025-09-14 13:55:50,191 [INFO] 10,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.17 min
2025-09-14 13:55:57,085 [INFO] 10,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.28 min
2025-09-14 13:56:03,972 [INFO] 10,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.40 min
2025-09-14 13:56:10,897 [INFO] 10,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.51 min
2025-09-14 13:56:17,762 [INFO] 10,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.63 min
2025-09-14 13:56:24,665 [INFO] 10,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.74 min
2025-09-14 13:56:31,565 [INFO] 11,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.86 min
2025-09-14 13:56:38,460 [INFO] 11,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.97 min
2025-09-14 13:56:45,433 [INFO] 11,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.09 min
2025-09-14 13:56:52,352 [INFO] 11,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.20 min
2025-09-14 13:56:59,282 [INFO] 11,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.32 min
2025-09-14 13:57:06,192 [INFO] 11,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.44 min
2025-09-14 13:57:13,129 [INFO] 11,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.55 min
2025-09-14 13:57:20,066 [INFO] 11,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.67 min
2025-09-14 13:57:27,018 [INFO] 11,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.78 min
2025-09-14 13:57:33,976 [INFO] 11,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.90 min
2025-09-14 13:57:40,950 [INFO] 12,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.01 min
2025-09-14 13:57:47,898 [INFO] 12,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.13 min
2025-09-14 13:57:54,875 [INFO] 12,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.25 min
2025-09-14 13:58:01,802 [INFO] 12,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.36 min
2025-09-14 13:58:08,739 [INFO] 12,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.48 min
2025-09-14 13:58:15,674 [INFO] 12,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.59 min
2025-09-14 13:58:22,653 [INFO] 12,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.71 min
2025-09-14 13:58:29,536 [INFO] 12,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.82 min
2025-09-14 13:58:36,445 [INFO] 12,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.94 min
2025-09-14 13:58:43,363 [INFO] 12,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.06 min
2025-09-14 13:58:50,296 [INFO] 13,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.17 min
2025-09-14 13:58:57,201 [INFO] 13,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.29 min
2025-09-14 13:59:04,137 [INFO] 13,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.40 min
2025-09-14 13:59:11,051 [INFO] 13,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.52 min
2025-09-14 13:59:17,933 [INFO] 13,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.63 min
2025-09-14 13:59:24,854 [INFO] 13,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.75 min
2025-09-14 13:59:31,769 [INFO] 13,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.86 min
2025-09-14 13:59:38,668 [INFO] 13,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.98 min
2025-09-14 13:59:45,591 [INFO] 13,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.09 min
2025-09-14 13:59:52,549 [INFO] 13,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.21 min
2025-09-14 13:59:59,457 [INFO] 14,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.32 min
2025-09-14 14:00:06,347 [INFO] 14,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.44 min
2025-09-14 14:00:13,269 [INFO] 14,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.55 min
2025-09-14 14:00:20,148 [INFO] 14,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.67 min
2025-09-14 14:00:27,082 [INFO] 14,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.78 min
2025-09-14 14:00:34,036 [INFO] 14,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.90 min
2025-09-14 14:00:40,993 [INFO] 14,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.02 min
2025-09-14 14:00:47,923 [INFO] 14,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.13 min
2025-09-14 14:00:54,901 [INFO] 14,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.25 min
2025-09-14 14:01:01,870 [INFO] 14,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.36 min
2025-09-14 14:01:08,811 [INFO] 15,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.48 min
2025-09-14 14:01:15,805 [INFO] 15,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.60 min
2025-09-14 14:01:22,784 [INFO] 15,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.71 min
2025-09-14 14:01:29,750 [INFO] 15,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.83 min
2025-09-14 14:01:36,683 [INFO] 15,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.94 min
2025-09-14 14:01:43,595 [INFO] 15,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.06 min
2025-09-14 14:01:50,501 [INFO] 15,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.17 min
2025-09-14 14:01:57,388 [INFO] 15,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.29 min
2025-09-14 14:02:04,288 [INFO] 15,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.40 min
2025-09-14 14:02:11,196 [INFO] 15,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.52 min
2025-09-14 14:02:18,087 [INFO] 16,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.63 min
2025-09-14 14:02:24,975 [INFO] 16,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.75 min
2025-09-14 14:02:31,856 [INFO] 16,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.86 min
2025-09-14 14:02:38,776 [INFO] 16,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 18.98 min
